rating,date
5.0,2019-11-27
4.0,2019-08-16
5.0,2019-08-26
4.0,2020-03-02
5.0,2020-09-04
5.0,2019-09-10
5.0,2020-05-25
5.0,2020-05-19
1.0,2020-07-28
4.0,2020-08-29
5.0,2019-08-12
5.0,2020-08-28
5.0,2019-11-02
4.0,2019-11-11
4.0,2019-11-29
5.0,2020-06-09
5.0,2019-08-06
5.0,2019-07-04
3.0,2019-07-15
5.0,2020-07-14
5.0,2019-12-05
1.0,2019-03-29
5.0,2019-03-27
2.0,2020-06-29
5.0,2019-07-19
5.0,2019-03-27
4.0,2020-06-05
5.0,2020-06-15
5.0,2019-01-18
5.0,2019-11-04
3.0,2020-07-01
4.0,2020-05-17
5.0,2020-06-28
4.0,2020-08-24
5.0,2019-11-11
5.0,2020-09-07
5.0,2020-06-12
5.0,2019-10-01
4.0,2019-02-17
5.0,2019-07-09
5.0,2019-04-17
5.0,2019-07-18
5.0,2020-01-20
5.0,2020-08-12
2.0,2019-10-09
4.0,2019-05-21
5.0,2020-03-10
4.0,2019-08-11
3.0,2019-08-27
5.0,2019-07-19
4.0,2020-06-30
3.0,2020-08-05
5.0,2019-04-04
5.0,2020-07-24
5.0,2019-01-21
5.0,2020-03-04
5.0,2019-09-07
5.0,2019-07-17
5.0,2020-09-09
5.0,2020-06-14
4.0,2019-11-04
4.0,2019-09-16
5.0,2020-07-09
5.0,2020-07-14
4.0,2019-09-06
4.0,2019-08-22
4.0,2019-08-01
5.0,2020-07-26
1.0,2020-05-18
5.0,2019-08-10
5.0,2019-10-26
5.0,2019-08-07
5.0,2019-10-02
4.0,2020-07-31
5.0,2020-02-03
5.0,2019-12-29
5.0,2019-07-20
5.0,2020-02-09
1.0,2020-06-13
4.0,2019-08-20
4.0,2020-07-16
5.0,2019-08-16
5.0,2019-09-05
5.0,2020-01-22
5.0,2019-02-09
4.0,2019-10-28
5.0,2020-06-19
5.0,2020-06-12
2.0,2019-11-09
5.0,2020-06-07
5.0,2020-05-31
5.0,2019-07-05
4.0,2020-07-27
5.0,2020-09-18
5.0,2019-03-03
3.0,2020-01-17
5.0,2019-08-16
5.0,2020-08-14
2.0,2019-07-20
4.0,2020-08-25
4.0,2020-07-19
4.0,2020-05-23
1.0,2019-10-18
5.0,2020-08-14
3.0,2019-05-23
4.0,2019-07-26
5.0,2019-10-07
5.0,2019-09-05
5.0,2019-07-04
4.0,2019-05-25
5.0,2019-05-25
5.0,2019-03-30
5.0,2019-06-27
5.0,2019-09-22
4.0,2020-07-19
5.0,2020-07-04
5.0,2020-06-19
4.0,2020-07-29
5.0,2020-08-08
5.0,2019-10-05
5.0,2019-11-22
2.0,2019-11-15
5.0,2020-07-29
5.0,2019-06-09
5.0,2020-08-20
5.0,2019-10-05
4.0,2019-10-05
5.0,2020-05-25
5.0,2020-08-21
5.0,2019-07-24
5.0,2020-08-05
5.0,2020-07-12
5.0,2019-07-12
1.0,2019-08-23
5.0,2020-09-16
5.0,2019-08-01
5.0,2019-05-31
3.0,2020-03-02
5.0,2019-08-25
1.0,2020-07-09
5.0,2020-08-17
